,company_name,job_summary,job_title,City,State
116,STERIS,"The engineer is responsible for assisting in CAPAS, NCR’s, and complaint mitigation. The Sustaining Engineer is responsible for all design aspects of our…",Sustaining Engineer,Mentor, OH
117,Integrated IT Group,We are currently seeking a self-motivated and dedicated individual to join our expanding Field Engineer team. Integrated IT Group is a comprehensive provider of…,IT Field Engineer,Twinsburg, OH
118,MTD Products Inc,"Analytical skills to analyze emission data and understand emission software and hardware are valuable. In this role, the Emissions Compliance Engineer must…",Emissions Compliance Engineer,Valley City, OH
119,Tektronix,Tektronix is looking for a manufacturing engineer to join our team. Due to US Department of Commerce export control regulations governing technical data of…,Manufacturing Engineer,Solon, OH
120,ViaSat,"Data analytics & cloud application engineering. Scripting, automation, data visualization & dashboarding. SOA, REST/SOAP, XML/JSON, Search Engine/Conversion…",Software Engineer University Grad,Cleveland, OH
121,Swagelok Company,Learns how to properly document product & manufacturing information & data. Performs routine engineering-related work requiring the application of educational…,1_Co-Op_Engineer,Solon, OH
122,Flex-n-Gate,Collect SPC data and report monthly; The Quality Engineer supports and promotes plant wide quality improvement efforts. Document all activities as required.,Quality Engineer,Sandusky, OH
123,Procter and Gamble,"Our R&D Engineers are constantly learning, growing, and improving. Packaging Development Engineers develop creative packaging that is easy to use and looks…",Research and Development Engineer (BS/MS),Cincinnati, OH
124,Kognetics,"Use data visualizations tools such as D3J, to tell compelling business stories, via complex mashups. Based on business strategy and knowledge of emerging…",Senior Data Engineer,Gahanna, OH
125,"Brilligent Solutions, Inc.","Supporting mission planning and data collection functions. Analyzing radar signature data to exploit target features. Medical, dental and vision insurance;",RF Engineer,Fairborn, OH
126,CTG (Computer Task Group),"Will collaborate with teams on monitoring infrastructure availability, data analysis tools, and performance alerting, critical to Key technology stacks and…",Monitoring Engineer,Brooklyn, OH
127,Tronair,Must be able to present data effectively. Work with Engineering (Design and Manufacturing Engineers) team to define process parameters and criteria to ensure…,Supplier Quality Engineer,Swanton, OH
128,"Bastion Technologies, Inc.","Ability to work well with cross-functional teams, design engineers, line management, and project management. Analyze the GRC in-house design, and review/concur…","Electrical, Electronic and Electromechanical Parts (EEE) Engineer",Cleveland, OH
129,Riverside Research,Experience working with complex imagery data and phase history data. Knowledge of standard SAR data formats. All Riverside Research opportunities require U.S.,SAR Engineer,Beavercreek, OH
130,Elliott Tool Technologies,"As the Project Engineer, you’ll be: Preliminary data shows it is 2 times more productive than the competing product. Our average tenure is 11 years.",Project Engineer,Dayton, OH
131,Gooch & Housego (Ohio),Support design for manufacturability analysis with Value Stream Manager and Quality Engineer and provide input to Development (Design) Engineers.,Fabrication Engineer,Cleveland, OH
132,Ameritas,"Ameritas Life Insurance Corp is seeking a Data Engineer Intern In this role, you will be responsible for contributing to data development and operational…",Data Engineer Intern,Cincinnati, OH
133,SGB USA Inc.,"SGB-USA is seeking a Sales Engineer to provide sales support for its dry type transformer products. Analyze price proposals, specifications, and other required…",Sales Engineer,Tallmadge, OH
134,Accenture,"You will have an opportunity to work in roles such as Data Scientist, Data Engineer, or Chief Data Officer covering all aspects of Data including Data…",Azure Data Engineer,Cleveland, OH
135,TEGNA,"Manage file servers, network shares and routine backups for onsite and offsite data protection. WKYC- TV in Cleveland, OH is searching for a skilled Broadcast…",Broadcast Engineer,Cleveland, OH
136,Rovisys Automation & Information Solutions,"Our Software Engineers and Developers rely on strong software development skills to address technology decisions, data management, scalability, security and…",Software Engineer/Developer,Aurora, OH
137,MIM Software,"Web Clinical Data Solutions - Our next-gen suite of tools to unite clinical data for uses beyond image processing, such as analytics, peer review, and decision…",Software Engineer Intern,Beachwood, OH
138,Myriad Genetics,"As an Enterprise Data management (EDM) Data Test Engineer, you will work alongside a team of Business Intelligence (BI) Analysts and Data Engineers to support…",Data Testing Engineer,Mason, OH
139,Dover Chemical Corporation,"? Knowledge of SQL Databases, FTP Data pushing and graphical interpolation of committed data; The Process Control Engineer uses computer modeling and…",Instrumentation and Controls Engineer,Dover, OH
140,The J. M. Smucker Company,"Compile, organize, and analyze production records and test data. For more than 120 years, The J.M. Smucker Company has brought families together to share…",Co-Op/Intern - Research & Development Engineer,Akron, OH
141,Curel,"Excellent verbal and written communication skills, with the ability to clearly articulate transfer of thoughts and data.",Formulation Scientist,Cincinnati, OH
142,Affiliated Resource Group,The Infrastructure Engineer will also function as an escalation point for the Managed Services Support Engineers. Assist Program Manager with vCIO assessments.,Infrastructure Engineer,Columbus, OH
143,Xignite,Knowledge of financial market data. Our engineering team creates complete end-to-end technology products and solutions to deliver financial market data timely…,Software Engineer/.NET Developer,Cleveland, OH
144,TASI Group,"Coordinating all cross-functional quote and proposal activities, including the critical data review and approval processes. 4 year Engineering degree (BSEE;",Application Engineer,Cincinnati, OH
145,Swagelok Company,"Completes all records, forms, and electronic data entry as required. Acts as a direct liaison with product, process and quality Engineers to ensure appropriate…",Machine Operator - LVL2,Solon, OH
146,"Honda R&D Americas, Inc.","Warranty data review and warranty part analysis. Recreate problem failures (on vehicle or bench testing, developing test equipment/using data acquisition tools)…",Quality Engineer,Raymond, OH
147,State of Ohio Jobs,"Assists the environmental engineer/ supervisor in the collection and tabulation of data required to draft discharge permits for municipal, industrial and semi…",College Intern - Northeast Office,Twinsburg, OH
148,Goodyear,Translate product needs to experimental data or design parameters. This position is responsible for the development of projects with moderate complexity or…,Applied Physical Metrology Lab Development Engineer,Akron, OH
149,Dana Corp.,"Analyze warranty data and develop effective counter measures. Application Engineer with Dana Automotive Systems Group, LLC in Maumee, OH will be responsible for…",Application Engineer,Ohio,
150,Aclara,"Support the work of other engineers on project teams. We're big data gurus and in the field problem solvers. We're a hardware, software, and network engineering…",Firmware Engineer,Solon, OH
151,"Conn-Selmer, Inc.","Directs workers engaged in measuring and testing product and tabulating data concerning materials, product, or process quality and reliability.",Quality Engineer,Eastlake, OH
152,Integrated IT Group,"Work with Telecommunication Engineers to integrate voice, data, and video applications on local and wide area networks when necessary.",Network Operations Center Engineer,Twinsburg, OH
153,Promerus,"Analyze data, apply statistical methods, prepare written reports, give oral presentations. Is searching for a versatile chemical engineer with experience in…",Chemical Engineering,Brecksville, OH
154,ORIS Intelligence,"A Data Quality Engineer at ORIS combines data analysis, data science, and software engineering skills to ensure our data is as accurate as possible.",Data Quality Engineer,Columbus, OH
155,Mphasis,"Reduction of monitoring s, manual efforts, Data refresh). This position is accepting applicants for - Canada, Colorado, Florida, New Jersey, Tennessee and Texas…",DevOps Engineer USA,United States,
156,TRANSPORTATION TECHNOLOGY CENTER INC,Manipulating and analyzing large data sets. The Radio Frequency (RF) Electrical Engineer is responsible for providing professional engineering and scientific…,RF and Data Analytics Electrical Engineer (C&TC),United States,
157,Honeywell,"Lead bold benchmarking, tear-down & data analysis initiatives. You will maintain data base of high-reaching products and capabilities and cross-reference lists;","Sr. Application Engineer for Pressure Sensors, Load Cells, & Torque Transducers",Columbus, OH
158,Technical Assurance,"Licensed Professional Engineer (PE) (Preferred). Technically competent with field data collection tools. Structural Engineer - TechnicalAssurance Inc.*, a…",Structural Engineer,Columbus, OH
159,Comet Group,We take data protection seriously. The processing of your data complies with general data security standards based on the latest technology.,"Field Service Engineer - DALLAS, TEXAS",Hudson, OH
160,Rockwell Automation,"Able to apply basic knowledge of data structures and algorithms. In this position, you will be highly involved in subsystem design, implementation, and testing,…",Software Engineer,Mayfield Heights, OH
161,Cognitive Performance Group,"At a minimum, functional understanding of statistics and psychometric data analysis. Experience collaborating with multi-disciplinary teams made up researchers,…",Cognitive Psychology Research Scientist,Independence, OH
162,Precision Castparts Corp.,Ability to apply computer science skills in developing manufacturing real-time data acquisition and control systems. Other duties assigned by Supervision.,Automation Engineer,Wickliffe, OH
